GEOID,Year,prevalence,prevalence_upper,prevalence_lower,tenure,hh_size,total_by_Tenure,count_value,count_upper,count_lower,county_total_by_tenure_size,distribution,distribution_upper,distribution_lower
Central Seattle,2000,0.46895762014264647,0.49124907437316806,0.4467878627856088,Renter Occupied,1,8725.004819181675,4091.6574957365597,4286.150541324429,3898.2262559563173,123776.96752991088,0.03305669525913862,0.0346280138127368,0.03149395508509534
Covington/Maple Valley,2000,0.2243419349974454,0.2402775366484343,0.20922431722315715,Renter Occupied,1,1731.2485386173762,388.39164711492174,415.9801341851849,362.21929343580916,123776.96752991088,0.0031378345653933263,0.003360723262869263,0.0029263868768499143
Delridge,2000,0.3208003486357908,0.34062019861063947,0.3016354019964453,Renter Occupied,1,5172.442151358975,1659.3212454544191,1761.8382728979373,1560.1916676285227,123776.96752991088,0.01340573515871151,0.014233975092920147,0.0126048625908653
Des Moines/Normandy Park,2000,0.3876109996187989,0.40899534023785367,0.36662332540346904,Renter Occupied,1,5265.297435697809,2040.8872023411266,2153.482116166724,1930.380855113889,123776.96752991088,0.016488424648535224,0.01739808430551776,0.015595638620306398
Downtown,2000,0.7304458357410918,0.7477049089872101,0.7123406467427071,Renter Occupied,1,16821.579999405865,12287.253061151652,12577.577942476835,11982.69517601096,123776.96752991088,0.09926930111761237,0.10161484962408249,0.09680876349725828
East Federal Way,2000,0.2719884466149122,0.29001155392376954,0.2547091992961341,Renter Occupied,1,2863.325589331937,778.7914791951216,830.3975035518482,729.315368182869,123776.96752991088,0.00629189335250862,0.006708820874539372,0.005892173501557379
Fairwood,2000,0.29377867774141936,0.3126273881656336,0.2756226986309821,Renter Occupied,1,1705.0673329211181,500.91242652565455,533.0507469376721,469.95525964724976,123776.96752991088,0.004046895286916836,0.004306542304074946,0.003796790865260812
Fed Way-Central/Military Rd,2000,0.33371668217912515,0.3539226609152766,0.3140869295303289,Renter Occupied,1,9717.587437687525,3242.921038490627,3439.2744036232334,3052.1672007457714,123776.96752991088,0.026199713106616306,0.0277860612701804,0.02465860379079178
Fed Way-Dash Point/Woodmont,2000,0.2980951374572396,0.31712371364478525,0.279754418672604,Renter Occupied,1,4268.104869431181,1272.3013077350015,1353.5172664194074,1194.0211965814303,123776.96752991088,0.01027898269867977,0.01093513028659656,0.00964655396241545
Fremont/Greenlake,2000,0.4944522473007038,0.5167213933578404,0.4721988822907231,Renter Occupied,1,13364.4391073889,6608.076950561854,6905.691597016005,6310.673208951468,123776.96752991088,0.05338696756296766,0.05579141042817384,0.050984228608012105
Issaquah,2000,0.4375281709124513,0.4595915575747105,0.41564966543683846,Renter Occupied,1,1855.9585114086883,812.0341327860392,852.9828630523601,771.428534331674,123776.96752991088,0.006560462329874174,0.006891289066733967,0.006232407771221711
Kenmore/LFP,2000,0.3724010541449722,0.39351201515997675,0.351779160389429,Renter Occupied,1,3452.686548960781,1285.784110465161,1358.6736415973025,1214.5831752812987,123776.96752991088,0.01038791090236113,0.010976788886583258,0.009812675165012368
Kent-East,2000,0.253419683622492,0.2706927089484132,0.23692358140676056,Renter Occupied,1,3236.9934797802384,820.3178635339775,876.2305338900633,766.9200882198664,123776.96752991088,0.0066273869840586174,0.00707910810368109,0.006195983820936146
Kent-SE,2000,0.3338939675178499,0.3539873132813567,0.3143650583321075,Renter Occupied,1,8069.840537533953,2694.4710743135897,2856.621170490623,2536.8758913126667,123776.96752991088,0.021768759795011677,0.023078778124050556,0.020495540825878022
Kent-West,2000,0.3590870716454683,0.3798090543048177,0.33885065822636656,Renter Occupied,1,4873.417775352753,1749.981317856393,1850.9681964890176,1651.3608209903553,123776.96752991088,0.01413818218994182,0.014954059979226171,0.013341422511351326
Kirkland,2000,0.419971881300843,0.4418023546624359,0.39842889209623034,Renter Occupied,1,7869.049379654505,3304.7794720227344,3476.5645448863406,3135.256626186273,123776.96752991088,0.02669947032935776,0.028087330092702617,0.025329887205619527
Kirkland North,2000,0.35814809676766113,0.3788901779796739,0.33793881882517635,Renter Occupied,1,3790.404554925854,1357.5261773261682,1436.1470564308233,1280.9248381612113,123776.96752991088,0.010967518468232953,0.011602700284960337,0.010348652610605233
Mercer Isle/Pt Cities,2000,0.4399678217109097,0.4620567889807344,0.4180779629561822,Renter Occupied,1,1818.932044826892,800.2715696026585,840.4499000068749,760.4554040569501,123776.96752991088,0.006465432023201503,0.006790034662981859,0.00614375533051563
NE Seattle,2000,0.4617180708267934,0.4839784068287653,0.4396107372016621,Renter Occupied,1,10614.54056054088,4900.925190325685,5137.2084297098845,4666.26600087632,123776.96752991088,0.03959480740341591,0.0415037509177018,0.03769898466569485
Newcastle/Four Creeks,2000,0.3249021452748321,0.34471007586178554,0.30570880002515954,Renter Occupied,1,2309.49122665354,750.3586540331386,796.1048959418698,706.0317915688875,123776.96752991088,0.006062183207484166,0.006431769268781689,0.005704064380138202
North Highline,2000,0.31083481651476225,0.3302957388137284,0.29205874845079977,Renter Occupied,1,3128.275807850378,972.3770367407419,1033.2561691670537,913.640317249696,123776.96752991088,0.007855880267108383,0.008347725669699945,0.007381343520384061
North Seattle,2000,0.4617468918201949,0.4839414269943055,0.4396790997208657,Renter Occupied,1,9115.694948838429,4209.1438094071955,4411.462421585652,4007.9805484353237,123776.96752991088,0.034005872767807546,0.03564041444560044,0.03238066522729109
NW Seattle,2000,0.4678411887936933,0.4901209471185536,0.4456797088343136,Renter Occupied,1,9563.391571469447,4474.148481695853,4687.218534674198,4262.209571041032,123776.96752991088,0.03614685810277803,0.03786826118147971,0.03443459357663665
QA/Magnolia,2000,0.5762856630549046,0.597929600383609,0.5543167957969382,Renter Occupied,1,14837.559220135436,8550.672653292162,8871.815855163713,8224.708284352791,123776.96752991088,0.06908129051736447,0.07167582169937897,0.06644780889760674
Redmond,2000,0.3942437587945548,0.41572100283093233,0.3731418305511186,Renter Occupied,1,7952.26943855496,3135.132594402972,3305.9254257778434,2967.324375338114,123776.96752991088,0.025328885146950805,0.026708728544177347,0.023973154574344017
Renton-East,2000,0.3790915410136511,0.4003132403678773,0.35829810770472165,Renter Occupied,1,5847.737425380638,2216.827792030747,2340.9267175746313,2095.2332538679634,123776.96752991088,0.017909857029701808,0.018912458143789498,0.016927488980222814
Renton-North,2000,0.4412658495695663,0.4633377753077736,0.41937387854656655,Renter Occupied,1,2312.481605875319,1020.4191604305677,1071.460082706418,969.7943801235252,123776.96752991088,0.008244014866368268,0.008656376901845637,0.007835014861623371
Renton-South,2000,0.35770330587737403,0.3783938540994465,0.3375153283106108,Renter Occupied,1,7381.947627142585,2640.5470700425394,2793.283613394746,2491.520476946764,123776.96752991088,0.021333105203150557,0.022567070991779997,0.020129112278863066
Sammamish,2000,0.3397259616037573,0.36001045795196396,0.32001483185474977,Renter Occupied,1,1076.6910776563668,365.77991170699494,387.6200479398622,344.55711417571155,123776.96752991088,0.002955153280989888,0.003131600779007559,0.002783693291665502
SE Seattle,2000,0.3099641776687548,0.329402863479722,0.2912202802270231,Renter Occupied,1,5066.409670682081,1570.405507305998,1668.8898530840327,1475.4412440409355,123776.96752991088,0.012687380686770399,0.013483040394253827,0.011920159893110915
SeaTac/Tukwila,2000,0.3586850898068642,0.3794053702181917,0.33847606791863066,Renter Occupied,1,8939.265686088722,3206.3813154221525,3391.605407109269,3025.7274995072507,123776.96752991088,0.025904506948332903,0.027400941183097598,0.024444996188617073
Shoreline,2000,0.3993825631268491,0.4210283649690757,0.3781341677810693,Renter Occupied,1,6302.239803208149,2517.00468604532,2653.421719987756,2383.0922031428436,123776.96752991088,0.020335000414653737,0.021437120111595504,0.01925311510452836
Snoqualmie/North Bend/Skykomish,2000,0.28497484585242616,0.3034911271764727,0.26717912038501046,Renter Occupied,1,2479.996572414791,706.7366409384503,752.6569551559537,662.6033027756248,123776.96752991088,0.005709758891674788,0.006080751291423206,0.005353203556352322
Vashon Island,2000,0.4142597380267848,0.4361029453334286,0.392727883563372,Renter Occupied,1,850,352.1207773227671,370.6875035334143,333.8187010288662,123776.96752991088,0.0028448004854996676,0.0029948019484629653,0.0026969371417844635
West Seattle,2000,0.5200342606681781,0.5422860682650462,0.4976195099250245,Renter Occupied,1,8926.279213979387,4641.971011559497,4840.59685918489,4441.890687914356,123776.96752991088,0.03750270429300797,0.03910741195057273,0.035886245854593
Auburn-North,2001,0.35664279625069645,0.5884984815902348,0.17670022530987975,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Auburn-South,2001,0.2936042336155186,0.517428644839472,0.13860794838800697,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Ballard,2001,0.4855878924562348,0.7088917995615687,0.26763884541966493,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Beacon/Gtown/S.Park,2001,0.3305464355454112,0.5601875937394569,0.16047466903501192,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Bear Creek/Carnation/Duvall,2001,0.2899249311522479,0.5129642719680675,0.1364899433205629,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Bellevue-Central,2001,0.35689290705069765,0.5887526517718485,0.17685081502126954,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Bellevue-NE,2001,0.3360877723651605,0.5663307666957894,0.1638710050456487,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Bellevue-South,2001,0.282760165258491,0.5042039284964338,0.13241010252130264,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Bellevue-West,2001,0.43128285597407834,0.6617491455285924,0.2269685573092224,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Black Diamond/Enumclaw/SE County,2001,0.31966769302557246,0.5479494941883095,0.15391384523919296,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Bothell/Woodinville,2001,0.4126186744363282,0.6444155706281751,0.21381749637950828,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Burien,2001,0.3820413616828501,0.6146302976831798,0.1931282721058644,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Capitol Hill/E.lake,2001,0.5938411763473112,0.7904496448451562,0.36147053498399506,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Central Seattle,2001,0.4628126413058729,0.6896863631807446,0.2501193586380755,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Covington/Maple Valley,2001,0.22007862531147876,0.4212596460067032,0.09847957284880056,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Delridge,2001,0.31545353807729665,0.5431112028527402,0.1513857243911429,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Des Moines/Normandy Park,2001,0.3817642013080923,0.6143568751134111,0.1929482220161199,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Downtown,2001,0.7255271699189421,0.8721374440318885,0.5058208230985549,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
East Federal Way,2001,0.2671087149019345,0.48458301925330266,0.12365097187869462,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Fairwood,2001,0.288643335521619,0.5114086747530041,0.13575864272393223,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Fed Way-Central/Military Rd,2001,0.32821246065365667,0.5576017918960223,0.15906146103214813,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Fed Way-Dash Point/Woodmont,2001,0.2929458559420773,0.5166285148152853,0.1382274061456869,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Fremont/Greenlake,2001,0.488261922996728,0.7110967984191824,0.2697503692023443,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Issaquah,2001,0.4314526571448658,0.6619126873756522,0.22709071392899935,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Kenmore/LFP,2001,0.3666252600961487,0.5989126668287279,0.18306879751042443,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Kent-East,2001,0.24875361533286,0.4606656913908117,0.1136199683335938,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Kent-SE,2001,0.32841106988757485,0.5578161357889224,0.15918486213862246,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Kent-West,2001,0.35336365595495495,0.585015776490237,0.17462429585426523,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Kirkland,2001,0.4139614942563535,0.6456765698766257,0.21475205689007543,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Kirkland North,2001,0.35249661034858726,0.5840865726149674,0.17407257836108717,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Mercer Isle/Pt Cities,2001,0.4338634946050024,0.66410438196833,0.2288191924489912,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
NE Seattle,2001,0.4555913388032405,0.6834296180783319,0.2447058628751401,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Newcastle/Four Creeks,2001,0.3194623130773971,0.5477064440605788,0.15379003793588283,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
North Highline,2001,0.3055681934956652,0.5316301230498367,0.145550225982401,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
North Seattle,2001,0.4556251231913897,0.6834583747493354,0.24473441863581008,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
NW Seattle,2001,0.4616994724012517,0.6887287668981159,0.24928205695285424,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
QA/Magnolia,2001,0.5702244843150246,0.7739083419463492,0.33936566590034367,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Redmond,2001,0.3883307386694177,0.6208970626051787,0.1972992430934857,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Renton-East,2001,0.37323687560447255,0.6057228460686578,0.18735946001673323,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Renton-North,2001,0.43505281281189473,0.665188874977061,0.22968030572520048,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Renton-South,2001,0.35201137918128333,0.583573638663397,0.17377087213877385,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Sammamish,2001,0.3342030693977585,0.5642508646900977,0.16271250853935074,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
SE Seattle,2001,0.3047292019869335,0.5306392210101957,0.14505585071826846,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
SeaTac/Tukwila,2001,0.35300052113315933,0.5846189783610866,0.17438969942489255,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Shoreline,2001,0.3934930909066551,0.6259811260658708,0.20074738416567417,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Snoqualmie/North Bend/Skykomish,2001,0.2799600878496597,0.5007400966953581,0.13082910505011164,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Vashon Island,2001,0.40830270836013616,0.6403162368495746,0.21083404524399535,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
West Seattle,2001,0.5138708745256587,0.7317096961217787,0.29041862970806265,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Auburn-North,2002,0.3581856174586013,0.549796804595579,0.2026214309602614,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Auburn-South,2002,0.2949994114654579,0.4779723325749069,0.1600272701937727,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Ballard,2002,0.4872660488187125,0.675265442970581,0.3020068422328463,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Beacon/Gtown/S.Park,2002,0.33203462253443444,0.5209909793057373,0.18454948113499797,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Bear Creek/Carnation/Duvall,2002,0.2913098213708637,0.4735139081378365,0.15764200268319195,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Bellevue-Central,2002,0.35843620920530184,0.5500568983581491,0.20278860830708023,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Bellevue-NE,2002,0.33758833828595447,0.5272189310659631,0.1883413149250669,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Bellevue-South,2002,0.2841245378115951,0.4647847405833515,0.15304196590460858,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Bellevue-West,2002,0.4329312822539645,0.6255530052977369,0.257953822123064,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Black Diamond/Enumclaw/SE County,2002,0.3211304017046468,0.5086182418136227,0.1772120181369202,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Bothell/Woodinville,2002,0.414247739033934,0.6074655267309115,0.2435726110844794,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Burien,2002,0.38362854530848867,0.5766184475645985,0.2208132707595241,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Capitol Hill/E.lake,2002,0.595460372452281,0.7630959386768151,0.4012861239202004,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Central Seattle,2002,0.4644831546358163,0.654921366070751,0.2831076188325361,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Covington/Maple Valley,2002,0.22123384846950667,0.3833117001276913,0.11452231878147529,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Delridge,2002,0.3169059523864233,0.5037406245638513,0.17437972111682898,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Des Moines/Normandy Park,2002,0.3833509402780613,0.5763366267066997,0.2206144029348739,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Downtown,2002,0.7268628690909457,0.8534712591874034,0.5478916426956649,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
East Federal Way,2002,0.2684258146154442,0.4453196900578909,0.14314336844541198,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Fairwood,2002,0.290024600982498,0.4719616927480065,0.156817950728922,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Fed Way-Central/Military Rd,2002,0.3296953387052692,0.5183731188061905,0.1829699056621364,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Fed Way-Dash Point/Woodmont,2002,0.29433919227915994,0.47717263882105865,0.15959893189831073,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Fremont/Greenlake,2002,0.48994050945191153,0.677608856645682,0.3042775424828982,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Issaquah,2002,0.4331012479014371,0.6257247369001921,0.25808647330540324,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Kenmore/LFP,2002,0.3681865511148763,0.5604589492049378,0.2096863944655616,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Kent-East,2002,0.25001108612575007,0.4217543440380425,0.1317686223169447,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Kent-SE,2002,0.32989438220519296,0.5185889083141795,0.18310828700658144,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Kent-West,2002,0.354900110004479,0.5462385295241243,0.20031539148394156,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Kirkland,2002,0.41559208781001256,0.6087773463950873,0.24459747416403288,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Kirkland North,2002,0.3540313746461883,0.5452903047031766,0.1997022307725965,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Mercer Isle/Pt Cities,2002,0.4355142368402246,0.6280192315649137,0.25997207059451044,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
NE Seattle,2002,0.45725797630757936,0.6483210848491239,0.2772440924087766,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Newcastle/Four Creeks,2002,0.32092453049770125,0.5083726073205453,0.17707383710411675,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
North Highline,2002,0.3069955079972857,0.4921950639268503,0.16783346793749798,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
North Seattle,2002,0.4572917755228448,0.6483507498788227,0.2772751345612318,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
NW Seattle,2002,0.4633694395842813,0.6539101349919321,0.2822013160290271,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
QA/Magnolia,2002,0.5718699621480159,0.7450919167560426,0.3781884443484561,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Redmond,2002,0.3899275603533053,0.583083605845028,0.2254150741386616,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Renton-East,2002,0.3748096584150391,0.5674506827507043,0.21443723168711284,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Renton-North,2002,0.4367045805862764,0.6291550984437575,0.2609108567147279,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Renton-South,2002,0.3535451683881793,0.5447664383154995,0.19936685129644177,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Sammamish,2002,0.33569947997685734,0.5251087377379191,0.1870482039611705,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
SE Seattle,2002,0.30615431361748924,0.4912005652414977,0.1672781792903193,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
SeaTac/Tukwila,2002,0.35453625902124564,0.5458332728448141,0.20005474476948543,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Shoreline,2002,0.3950974373646059,0.5883390356766192,0.22921398189790235,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Snoqualmie/North Bend/Skykomish,2002,0.2813162451706563,0.46133900340675754,0.15125771668864066,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Vashon Island,2002,0.4099266204234464,0.6032025780313675,0.24030105548325223,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
West Seattle,2002,0.515548822001426,0.6996027087939124,0.3264074659493412,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Auburn-North,2003,0.3570113345299309,0.5949438545681872,0.17346388961962217,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Auburn-South,2003,0.29393741390837047,0.5240870839075701,0.1359540990321361,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Ballard,2003,0.4859891089054552,0.7143668803264296,0.2632695305092359,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Beacon/Gtown/S.Park,2003,0.33090194289075303,0.5667500460533021,0.15747867535508384,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Bear Creek/Carnation/Duvall,2003,0.29025567817526654,0.5196273708378314,0.1338704086639586,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Bellevue-Central,2003,0.3572615982923882,0.59519692943961,0.17361231676349617,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Bellevue-NE,2003,0.3364462219441557,0.5728714393161399,0.16082368325691146,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Bellevue-South,2003,0.2830860065487833,0.5108724691972222,0.12985706827879268,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Bellevue-West,2003,0.4316768027879336,0.6676951120562669,0.22306092704545227,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Black Diamond/Enumclaw/SE County,2003,0.3200170398799108,0.5545493983934935,0.1510183151486969,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Bothell/Woodinville,2003,0.4130079359915417,0.6505052102949749,0.2100747900071035,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Burien,2003,0.3824205739735695,0.6209300171579423,0.1896602795568756,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Capitol Hill/E.lake,2003,0.5942284925856045,0.79483444590224,0.3563143049589169,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Central Seattle,2003,0.4632119905752574,0.6953673742417006,0.24593993363767944,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Covington/Maple Valley,2003,0.2203544255663165,0.42777770299003537,0.09650802874379286,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
Delridge,2003,0.3158004593042126,0.5497239680232615,0.1485295350158175,Renter Occupied,1,NA,NA,NA,NA,NA,NA,NA,NA
