FID_HRA_20,GEOID,Year,short_label,tenure,value,moe,SE,CoV
0,Auburn-North,2019,2,Renter,1605.393749,845.9861062,514.323033,0.320371892
0,Auburn-North,2019,3,Owner,1465.51323,756.2987783,459.7970092,0.3137447
0,Auburn-North,2019,3,Renter,697.724069,580.0366502,352.6372442,0.505410749
0,Auburn-North,2019,4,Owner,1298.215595,704.6701278,428.4090184,0.329998361
0,Auburn-North,2019,4,Renter,863.777117,677.9914649,412.1895431,0.477194331
0,Auburn-North,2019,5,Owner,708.6758968,501.9684205,305.1751306,0.430627219
0,Auburn-North,2019,5,Renter,281.0936752,353.1510169,214.7005734,0.763804356
0,Auburn-North,2019,6,Owner,259.778893,308.5890151,187.6088,0.722186463
0,Auburn-North,2019,6,Renter,119.6296197,258.0941787,156.9101192,1.311632684
0,Auburn-North,2019,7,Owner,186.9160254,242.5736865,147.47433,0.788987085
0,Auburn-North,2019,7,Renter,268.3768587,339.8853782,206.6356378,0.76994581
0,Auburn-North,2019,NA,Owner,14837.54101,2550.02325,1550.304057,0.104485242
1,Auburn-South,2010,0,Total,8561.014599,0,0,0
1,Auburn-South,2010,1,Owner,1090.916696,0,0,0
1,Auburn-South,2010,1,Renter,1057.038709,0,0,0
1,Auburn-South,2010,2,Owner,1715.550314,0,0,0
1,Auburn-South,2010,2,Renter,965.4384408,0,0,0
1,Auburn-South,2010,3,Owner,785.5540355,0,0,0
1,Auburn-South,2010,3,Renter,651.0753837,0,0,0
1,Auburn-South,2010,4,Owner,686.7356476,0,0,0
1,Auburn-South,2010,4,Renter,505.4157969,0,0,0
1,Auburn-South,2010,5,Owner,298.1794946,0,0,0
1,Auburn-South,2010,5,Renter,270.5414006,0,0,0
1,Auburn-South,2010,6,Owner,280.3971173,0,0,0
1,Auburn-South,2010,7,Owner,254.1715627,0,0,0
1,Auburn-South,2010,NA,Owner,8561.014599,0,0,0
1,Auburn-South,2014,0,Total,8969.885094,585.6139092,356.027977,0.039691476
1,Auburn-South,2014,1,Owner,1099.999918,450.7202479,274.018454,0.249107704
1,Auburn-South,2014,1,Renter,1103.376437,523.2081234,318.0879532,0.288285976
1,Auburn-South,2014,2,Owner,1943.409023,599.1308745,364.2457083,0.187426169
1,Auburn-South,2014,2,Renter,888.1058197,470.6322476,286.1240903,0.322173421
1,Auburn-South,2014,3,Owner,875.7070627,462.3873236,281.1115324,0.321010923
1,Auburn-South,2014,3,Renter,805.792247,452.7075492,275.2266474,0.341560307
1,Auburn-South,2014,4,Owner,646.8362708,367.6118918,223.4921611,0.345515815
1,Auburn-South,2014,4,Renter,521.468548,371.2608913,225.7105953,0.43283645
1,Auburn-South,2014,5,Owner,422.2118939,282.7738467,171.914292,0.407175389
1,Auburn-South,2014,5,Renter,168.2772804,171.0006696,103.9610253,0.617795968
1,Auburn-South,2014,6,Owner,199.6277755,211.7758797,128.7505929,0.644953302
1,Auburn-South,2014,6,Renter,131.8647692,174.8042876,106.2734609,0.805927629
1,Auburn-South,2014,7,Owner,81.87486112,121.0501164,73.59324524,0.898850322
1,Auburn-South,2014,7,Renter,81.33318798,138.9035887,84.44738573,1.038289385
1,Auburn-South,2014,NA,Owner,8969.885094,1372.944265,834.6908458,0.093054798
1,Auburn-South,2019,0,Total,9433.401606,579.1321161,352.0873266,0.037323475
1,Auburn-South,2019,1,Owner,1172.355156,446.2839147,271.3213549,0.231432731
1,Auburn-South,2019,1,Renter,1195.084476,536.0592123,325.9008604,0.272701108
1,Auburn-South,2019,2,Owner,1969.895576,566.7810768,344.5784278,0.17492218
1,Auburn-South,2019,2,Renter,1275.073837,615.9749206,374.4861613,0.293697628
1,Auburn-South,2019,3,Owner,886.4387379,469.0384571,285.1551344,0.321686229
1,Auburn-South,2019,3,Renter,638.8458606,421.3415898,256.1574981,0.400969176
1,Auburn-South,2019,4,Owner,857.3913546,506.9970873,308.232343,0.359500176
1,Auburn-South,2019,4,Renter,402.6539005,351.7389137,213.8420757,0.531081595
1,Auburn-South,2019,5,Owner,205.8494451,223.6129971,135.9470493,0.6604198
1,Auburn-South,2019,5,Renter,278.3253446,269.7717979,164.0096076,0.589272989
1,Auburn-South,2019,6,Owner,163.8639835,180.4437737,109.702025,0.669470024
1,Auburn-South,2019,6,Renter,123.7283962,203.4531947,123.6907597,0.999695814
1,Auburn-South,2019,7,Owner,82.47907585,140.758952,85.57536652,1.037540317
1,Auburn-South,2019,7,Renter,181.4164627,240.5656224,146.2535137,0.806175534
1,Auburn-South,2019,NA,Owner,9433.401606,1557.360449,946.8079247,0.100367605
2,Ballard,2010,0,Total,25299.37053,0,0,0
2,Ballard,2010,1,Owner,4104.801039,0,0,0
2,Ballard,2010,1,Renter,5216.432137,0,0,0
2,Ballard,2010,2,Owner,5598.933357,0,0,0
2,Ballard,2010,2,Renter,3682.811626,0,0,0
2,Ballard,2010,3,Owner,2398.755615,0,0,0
2,Ballard,2010,3,Renter,1079.350686,0,0,0
2,Ballard,2010,4,Owner,2006.130179,0,0,0
2,Ballard,2010,4,Renter,462.9413439,0,0,0
2,Ballard,2010,5,Owner,399.0187484,0,0,0
2,Ballard,2010,5,Renter,153.5707741,0,0,0
2,Ballard,2010,6,Owner,123.9832184,0,0,0
2,Ballard,2010,7,Owner,72.64181092,0,0,0
2,Ballard,2010,NA,Owner,25299.37053,0,0,0
2,Ballard,2014,0,Total,25813.20893,1290.593829,784.6253353,0.030396273
2,Ballard,2014,1,Owner,3882.383374,1346.931146,818.8759924,0.210920951
2,Ballard,2014,1,Renter,5440.284131,1563.959814,950.8200539,0.17477397
2,Ballard,2014,2,Owner,4928.573112,1370.504767,833.2077361,0.169056584
2,Ballard,2014,2,Renter,4591.016051,1618.539139,984.001927,0.21433206
2,Ballard,2014,3,Owner,2301.220424,1160.815151,705.7255015,0.306674447
2,Ballard,2014,3,Renter,1389.123762,1041.992163,633.4862544,0.456032984
2,Ballard,2014,4,Owner,2044.089191,917.2398107,557.6422094,0.272807181
2,Ballard,2014,4,Renter,369.5348998,413.95401,251.6661685,0.681034913
2,Ballard,2014,5,Owner,590.9835469,576.0734758,350.2278053,0.592618538
2,Ballard,2014,5,Renter,141.3304798,285.4264488,173.5269596,1.227809881
2,Ballard,2014,6,Owner,76.8473239,210.419343,127.9258772,1.664675758
2,Ballard,2014,6,Renter,35.74499311,190.917773,116.0697644,3.247161471
2,Ballard,2014,7,Owner,20.0412609,177.3733147,107.8353185,5.380665368
2,Ballard,2014,7,Renter,2.036381003,179.6109401,109.1956981,53.62243016
2,Ballard,2014,NA,Owner,25813.20893,3601.613177,2189.625337,0.08482577
2,Ballard,2019,0,Total,29578.60106,1541.809565,937.3536585,0.031690263
2,Ballard,2019,1,Owner,4034.380312,1559.550694,948.1394992,0.235014903
2,Ballard,2019,1,Renter,5699.881274,1664.027747,1011.657037,0.177487388
2,Ballard,2019,2,Owner,6095.088433,1738.324461,1056.826232,0.173389811
2,Ballard,2019,2,Renter,5351.40357,1799.302231,1093.898084,0.204413304
2,Ballard,2019,3,Owner,2766.363552,1223.302122,743.7148824,0.268842062
2,Ballard,2019,3,Renter,1590.477791,1109.1392,674.308754,0.423966155
2,Ballard,2019,4,Owner,2560.127187,1001.641385,608.9547231,0.237861121
2,Ballard,2019,4,Renter,757.5488899,678.0622328,412.2325669,0.544166287
2,Ballard,2019,5,Owner,395.3830859,437.5954364,266.0391352,0.672864229
2,Ballard,2019,5,Renter,147.0451501,339.9502955,206.6751046,1.405521396
2,Ballard,2019,6,Owner,102.3397857,267.2389741,162.46976,1.58755228
2,Ballard,2019,6,Renter,41.15712142,214.7763303,130.5747373,3.172591591
2,Ballard,2019,7,Owner,34.62654818,205.8555239,125.1512721,3.614315568
2,Ballard,2019,7,Renter,2.778356567,188.9957686,114.9012687,41.35583968
2,Ballard,2019,NA,Owner,29578.60106,4216.603454,2563.512878,0.08666782
3,Beacon/Gtown/S.Park,2010,0,Total,13804.46898,0,0,0
3,Beacon/Gtown/S.Park,2010,1,Owner,1641.509679,0,0,0
3,Beacon/Gtown/S.Park,2010,1,Renter,2045.485542,0,0,0
3,Beacon/Gtown/S.Park,2010,2,Owner,2349.126241,0,0,0
3,Beacon/Gtown/S.Park,2010,2,Renter,1385.509624,0,0,0
3,Beacon/Gtown/S.Park,2010,3,Owner,1383.519254,0,0,0
3,Beacon/Gtown/S.Park,2010,3,Renter,989.2479603,0,0,0
3,Beacon/Gtown/S.Park,2010,4,Owner,1114.662287,0,0,0
3,Beacon/Gtown/S.Park,2010,4,Renter,725.9584875,0,0,0
3,Beacon/Gtown/S.Park,2010,5,Owner,545.2867265,0,0,0
3,Beacon/Gtown/S.Park,2010,5,Renter,417.6254015,0,0,0
3,Beacon/Gtown/S.Park,2010,6,Owner,549.0278796,0,0,0
3,Beacon/Gtown/S.Park,2010,7,Owner,657.5098954,0,0,0
3,Beacon/Gtown/S.Park,2010,NA,Owner,13804.46898,0,0,0
3,Beacon/Gtown/S.Park,2014,0,Total,14019.79983,925.7782295,562.8331994,0.040145595
3,Beacon/Gtown/S.Park,2014,1,Owner,1717.485803,839.8130051,510.570054,0.297277598
3,Beacon/Gtown/S.Park,2014,1,Renter,1930.547049,885.8383635,538.5514851,0.27896315
3,Beacon/Gtown/S.Park,2014,2,Owner,2160.161941,863.0620719,524.704483,0.242900531
3,Beacon/Gtown/S.Park,2014,2,Renter,1679.159061,1028.610276,625.3506447,0.372418944
3,Beacon/Gtown/S.Park,2014,3,Owner,1250.933482,698.9804997,424.9499702,0.339706288
3,Beacon/Gtown/S.Park,2014,3,Renter,988.4041377,744.122542,452.3943832,0.457701831
3,Beacon/Gtown/S.Park,2014,4,Owner,1412.599703,734.7375093,446.6886885,0.316217459
3,Beacon/Gtown/S.Park,2014,4,Renter,740.8015479,699.5580342,425.3010862,0.574109338
3,Beacon/Gtown/S.Park,2014,5,Owner,390.0274354,384.7100936,233.8871297,0.599668404
3,Beacon/Gtown/S.Park,2014,5,Renter,603.5184587,565.3257415,343.6936468,0.569483239
3,Beacon/Gtown/S.Park,2014,6,Owner,269.5978929,325.6346521,197.9718115,0.734322547
3,Beacon/Gtown/S.Park,2014,6,Renter,216.819756,365.3204405,222.0990576,1.024348804
3,Beacon/Gtown/S.Park,2014,7,Owner,373.3931017,388.2476684,236.0378225,0.632142965
3,Beacon/Gtown/S.Park,2014,7,Renter,286.3504605,410.4445961,249.5325963,0.871423765
3,Beacon/Gtown/S.Park,2014,NA,Owner,14019.79983,2788.808857,1695.475397,0.120934351
3,Beacon/Gtown/S.Park,2019,0,Total,15505.19949,1187.614668,722.0184512,0.046566215
3,Beacon/Gtown/S.Park,2019,1,Owner,1915.65826,842.8435729,512.4125084,0.267486388
3,Beacon/Gtown/S.Park,2019,1,Renter,2453.381301,1067.491795,648.9889296,0.264528359
3,Beacon/Gtown/S.Park,2019,2,Owner,2734.906043,964.0835698,586.1211928,0.214311272
3,Beacon/Gtown/S.Park,2019,2,Renter,1788.388273,1015.901514,617.6242658,0.345352447
3,Beacon/Gtown/S.Park,2019,3,Owner,1509.334861,753.7266519,458.2332674,0.303599472
3,Beacon/Gtown/S.Park,2019,3,Renter,1113.539961,811.0689902,493.0949337,0.442817457
3,Beacon/Gtown/S.Park,2019,4,Owner,1241.349096,677.1111715,411.6543627,0.33161853
3,Beacon/Gtown/S.Park,2019,4,Renter,776.3088261,727.071502,442.028087,0.569397219
3,Beacon/Gtown/S.Park,2019,5,Owner,468.1071686,424.7618479,258.2368674,0.551661852
3,Beacon/Gtown/S.Park,2019,5,Renter,530.7170315,541.7036311,329.3324234,0.620542406
3,Beacon/Gtown/S.Park,2019,6,Owner,299.7605859,345.7142215,210.1793229,0.701157299
3,Beacon/Gtown/S.Park,2019,6,Renter,185.8335683,299.8900387,182.3201979,0.981093995
3,Beacon/Gtown/S.Park,2019,7,Owner,167.8987357,249.4626032,151.6624939,0.903297415
3,Beacon/Gtown/S.Park,2019,7,Renter,320.0157814,382.789209,232.7193148,0.727211995
3,Beacon/Gtown/S.Park,2019,NA,Owner,15505.19949,2789.379899,1695.822566,0.109371219
4,Bear Creek/Carnation/Duvall,2010,0,Total,26833.26002,0,0,0
4,Bear Creek/Carnation/Duvall,2010,1,Owner,2905.291787,0,0,0
4,Bear Creek/Carnation/Duvall,2010,1,Renter,1261.097021,0,0,0
4,Bear Creek/Carnation/Duvall,2010,2,Owner,8143.216401,0,0,0
4,Bear Creek/Carnation/Duvall,2010,2,Renter,1083.553514,0,0,0
4,Bear Creek/Carnation/Duvall,2010,3,Owner,4317.297733,0,0,0
4,Bear Creek/Carnation/Duvall,2010,3,Renter,559.3532652,0,0,0
4,Bear Creek/Carnation/Duvall,2010,4,Owner,5207.88859,0,0,0
4,Bear Creek/Carnation/Duvall,2010,4,Renter,496.8091983,0,0,0
4,Bear Creek/Carnation/Duvall,2010,5,Owner,1779.87801,0,0,0
4,Bear Creek/Carnation/Duvall,2010,5,Renter,185.9227516,0,0,0
4,Bear Creek/Carnation/Duvall,2010,6,Owner,623.4364258,0,0,0
4,Bear Creek/Carnation/Duvall,2010,7,Owner,269.5153287,0,0,0
4,Bear Creek/Carnation/Duvall,2010,NA,Owner,26833.26002,0,0,0
4,Bear Creek/Carnation/Duvall,2014,0,Total,28306.14646,1815.585212,1103.797434,0.038994974
4,Bear Creek/Carnation/Duvall,2014,1,Owner,3068.133157,1430.972114,869.9692732,0.283550038
4,Bear Creek/Carnation/Duvall,2014,1,Renter,1446.515291,1021.79729,621.2086431,0.429451833
4,Bear Creek/Carnation/Duvall,2014,2,Owner,8331.801395,1960.086451,1191.647949,0.143024046
4,Bear Creek/Carnation/Duvall,2014,2,Renter,1305.357105,1056.526495,642.3225008,0.492066499
4,Bear Creek/Carnation/Duvall,2014,3,Owner,4642.367167,1703.223633,1035.486444,0.223051389
4,Bear Creek/Carnation/Duvall,2014,3,Renter,887.7110263,883.7553409,537.2850972,0.605247745
4,Bear Creek/Carnation/Duvall,2014,4,Owner,5387.103192,1703.337314,1035.555557,0.192228647
4,Bear Creek/Carnation/Duvall,2014,4,Renter,677.4571907,741.1847238,450.6083165,0.665146555
4,Bear Creek/Carnation/Duvall,2014,5,Owner,1620.375521,998.2513311,606.8937167,0.374538932
4,Bear Creek/Carnation/Duvall,2014,5,Renter,189.1976936,431.0036097,262.0315891,1.384961857
4,Bear Creek/Carnation/Duvall,2014,6,Owner,483.50829,556.3613393,338.2436772,0.699561278
4,Bear Creek/Carnation/Duvall,2014,6,Renter,50.03914711,293.8856395,178.6697823,3.570600074
4,Bear Creek/Carnation/Duvall,2014,7,Owner,155.9977814,326.0438673,198.2205966,1.270662921
4,Bear Creek/Carnation/Duvall,2014,7,Renter,60.58250527,321.2564963,195.3100817,3.223869348
4,Bear Creek/Carnation/Duvall,2014,NA,Owner,28306.14646,3993.063257,2427.610087,0.085762648
4,Bear Creek/Carnation/Duvall,2019,0,Total,29733.12249,1831.954432,1113.749212,0.037458199
4,Bear Creek/Carnation/Duvall,2019,1,Owner,2936.012828,1396.699646,849.1330922,0.289213005
4,Bear Creek/Carnation/Duvall,2019,1,Renter,1267.812169,881.4213005,535.8661014,0.422669946
4,Bear Creek/Carnation/Duvall,2019,2,Owner,9431.521855,2087.514049,1269.118428,0.134561362
4,Bear Creek/Carnation/Duvall,2019,2,Renter,1183.771271,919.9527105,559.2915354,0.47246588
4,Bear Creek/Carnation/Duvall,2019,3,Owner,4781.347014,1773.781198,1078.382398,0.225539455
4,Bear Creek/Carnation/Duvall,2019,3,Renter,567.893676,570.4008498,346.7790936,0.610640879
4,Bear Creek/Carnation/Duvall,2019,4,Owner,5864.75617,1769.205586,1075.600623,0.18340074
4,Bear Creek/Carnation/Duvall,2019,4,Renter,762.0394568,724.6440713,440.5523138,0.578122707
4,Bear Creek/Carnation/Duvall,2019,5,Owner,1853.937468,1084.797872,659.5102775,0.35573491
4,Bear Creek/Carnation/Duvall,2019,5,Renter,204.9204115,431.5655212,262.373207,1.280366388
4,Bear Creek/Carnation/Duvall,2019,6,Owner,533.5027946,624.909152,379.9177883,0.712119584
4,Bear Creek/Carnation/Duvall,2019,6,Renter,92.86402944,343.8495407,209.0456774,2.251094193
4,Bear Creek/Carnation/Duvall,2019,7,Owner,249.038365,423.1326843,257.2464063,1.032958943
4,Bear Creek/Carnation/Duvall,2019,7,Renter,3.704983361,266.0193479,161.72828,43.65155365
4,Bear Creek/Carnation/Duvall,2019,NA,Owner,29733.12249,3737.589252,2272.292921,0.07642295
5,Bellevue-Central,2010,0,Total,14775.97333,0,0,0
5,Bellevue-Central,2010,1,Owner,1846.84089,0,0,0
5,Bellevue-Central,2010,1,Renter,2780.867568,0,0,0
5,Bellevue-Central,2010,2,Owner,2227.136126,0,0,0
5,Bellevue-Central,2010,2,Renter,2492.126148,0,0,0
5,Bellevue-Central,2010,3,Owner,1040.120882,0,0,0
5,Bellevue-Central,2010,3,Renter,1532.550013,0,0,0
5,Bellevue-Central,2010,4,Owner,823.1597018,0,0,0
5,Bellevue-Central,2010,4,Renter,947.57306,0,0,0
5,Bellevue-Central,2010,5,Owner,264.1404933,0,0,0
5,Bellevue-Central,2010,5,Renter,353.7945827,0,0,0
5,Bellevue-Central,2010,6,Owner,288.9511752,0,0,0
5,Bellevue-Central,2010,7,Owner,178.7126864,0,0,0
5,Bellevue-Central,2010,NA,Owner,14775.97333,0,0,0
5,Bellevue-Central,2014,0,Total,14454.72982,955.5781158,580.9502439,0.040191014
5,Bellevue-Central,2014,1,Owner,1620.272526,693.9433594,421.8876063,0.260380646
5,Bellevue-Central,2014,1,Renter,2593.178241,1004.433598,610.652268,0.235484109
5,Bellevue-Central,2014,2,Owner,1952.11224,683.0688303,415.276362,0.212731806
5,Bellevue-Central,2014,2,Renter,2833.075457,1097.05057,666.959389,0.235418858
5,Bellevue-Central,2014,3,Owner,858.6360437,514.2274654,312.6281007,0.364098506
5,Bellevue-Central,2014,3,Renter,1428.440255,788.0098748,479.075987,0.335383986
5,Bellevue-Central,2014,4,Owner,939.0438251,575.0053553,349.5784342,0.372270628
5,Bellevue-Central,2014,4,Renter,1239.086,672.2845271,408.7199713,0.329856016
5,Bellevue-Central,2014,5,Owner,257.6245378,303.8948038,184.7549221,0.717148001
5,Bellevue-Central,2014,5,Renter,395.7310774,423.477984,257.4563335,0.650584066
5,Bellevue-Central,2014,6,Owner,104.49513,199.703118,121.4108749,1.161880701
5,Bellevue-Central,2014,6,Renter,138.9815311,230.5409131,140.1589232,1.008471572
5,Bellevue-Central,2014,7,Owner,40.15806996,147.11733,89.44098585,2.227223219
5,Bellevue-Central,2014,7,Renter,53.89488456,144.67473,87.95599053,1.631991445
5,Bellevue-Central,2014,NA,Owner,14454.72982,2188.685104,1330.626062,0.092054717
5,Bellevue-Central,2019,0,Total,15617.52641,952.9882554,579.3757206,0.03709779
5,Bellevue-Central,2019,1,Owner,1635.745638,680.1112751,413.4782961,0.252776646
5,Bellevue-Central,2019,1,Renter,2773.955708,1105.175259,671.898849,0.242216863
5,Bellevue-Central,2019,2,Owner,2080.699447,784.1913552,476.7544919,0.22913184
5,Bellevue-Central,2019,2,Renter,2510.727799,1086.336374,660.4456204,0.263049471
5,Bellevue-Central,2019,3,Owner,1158.63389,670.5546912,407.6683057,0.351852565
5,Bellevue-Central,2019,3,Renter,2182.755914,1112.138796,676.1323793,0.309760874
5,Bellevue-Central,2019,4,Owner,945.5728797,516.5061334,314.0134325,0.332088028
5,Bellevue-Central,2019,4,Renter,1453.454153,776.1057613,471.8387999,0.324632737
5,Bellevue-Central,2019,5,Owner,438.8921045,382.1235779,232.3146398,0.529320618
5,Bellevue-Central,2019,5,Renter,139.3905253,226.1930055,137.515583,0.986548998
5,Bellevue-Central,2019,6,Owner,147.2817084,236.540416,143.806362,0.976403408
5,Bellevue-Central,2019,6,Renter,73.9526824,172.1912945,104.6848739,1.415565609
5,Bellevue-Central,2019,7,Owner,65.93539206,168.4739942,102.4249158,1.553413312
5,Bellevue-Central,2019,7,Renter,10.52856728,131.013686,79.65066549,7.565195087
5,Bellevue-Central,2019,NA,Owner,15617.52641,2376.072396,1444.549446,0.092495406
6,Bellevue-NE,2010,0,Total,14861.31519,0,0,0
6,Bellevue-NE,2010,1,Owner,1969.277145,0,0,0
6,Bellevue-NE,2010,1,Renter,1411.672708,0,0,0
6,Bellevue-NE,2010,2,Owner,3832.341308,0,0,0
6,Bellevue-NE,2010,2,Renter,1561.467217,0,0,0
6,Bellevue-NE,2010,3,Owner,1748.332084,0,0,0
6,Bellevue-NE,2010,3,Renter,893.3768601,0,0,0
6,Bellevue-NE,2010,4,Owner,1697.955843,0,0,0
6,Bellevue-NE,2010,4,Renter,528.6509237,0,0,0
6,Bellevue-NE,2010,5,Owner,574.8063989,0,0,0
6,Bellevue-NE,2010,5,Renter,215.5821741,0,0,0
6,Bellevue-NE,2010,6,Owner,284.2295104,0,0,0
6,Bellevue-NE,2010,7,Owner,143.6230153,0,0,0
6,Bellevue-NE,2010,NA,Owner,14861.31519,0,0,0
6,Bellevue-NE,2014,0,Total,14956.85716,674.6670468,410.1684403,0.027423438
6,Bellevue-NE,2014,1,Owner,1982.093525,747.4970787,454.4459558,0.229275738
6,Bellevue-NE,2014,1,Renter,1312.082747,609.9116694,370.7999663,0.282604102
6,Bellevue-NE,2014,2,Owner,3947.356122,930.9498556,565.9773249,0.143381369
6,Bellevue-NE,2014,2,Renter,1581.921883,677.3206471,411.7817148,0.260304709
6,Bellevue-NE,2014,3,Owner,1827.365666,751.6578044,456.9754974,0.250073374
6,Bellevue-NE,2014,3,Renter,1133.323449,602.4890803,366.2873525,0.323197542
6,Bellevue-NE,2014,4,Owner,1678.859487,692.3807867,420.9376296,0.250728326
6,Bellevue-NE,2014,4,Renter,627.579593,518.3599205,315.140455,0.502152171
6,Bellevue-NE,2014,5,Owner,399.4091643,327.7790292,199.2755002,0.498925708
6,Bellevue-NE,2014,5,Renter,103.3771486,199.7242572,121.4237266,1.174570283
6,Bellevue-NE,2014,6,Owner,152.0543642,200.7076959,122.0216149,0.802486765
6,Bellevue-NE,2014,6,Renter,88.62053241,225.5355432,137.1158743,1.547224673
6,Bellevue-NE,2014,7,Owner,66.33890962,156.9657755,95.42841556,1.438498403
6,Bellevue-NE,2014,7,Renter,56.47456917,154.3083964,93.81284381,1.661152005
6,Bellevue-NE,2014,NA,Owner,14956.85716,1959.933223,1191.554793,0.079666121
6,Bellevue-NE,2019,0,Total,16201.70656,812.4842633,493.9553587,0.03048786
6,Bellevue-NE,2019,1,Owner,1835.61691,769.9738375,468.1108549,0.255015549
6,Bellevue-NE,2019,1,Renter,1690.02162,724.7003923,440.5865546,0.260698768
6,Bellevue-NE,2019,2,Owner,3688.589957,948.6573127,576.7426944,0.156358582
6,Bellevue-NE,2019,2,Renter,1898.459229,801.396661,487.2145751,0.256636839
6,Bellevue-NE,2019,3,Owner,1759.22752,747.2240835,454.2799865,0.258226967
6,Bellevue-NE,2019,3,Renter,1235.762519,738.9142393,449.22796,0.363522888
6,Bellevue-NE,2019,4,Owner,2024.255689,715.6115519,435.0609319,0.214923902
6,Bellevue-NE,2019,4,Renter,789.1203063,544.5004317,331.0327574,0.419495931
6,Bellevue-NE,2019,5,Owner,544.1952013,400.9654928,243.7697107,0.447945351
6,Bellevue-NE,2019,5,Renter,216.5152411,249.638041,151.7691525,0.700962906
6,Bellevue-NE,2019,6,Owner,210.9888907,262.4176029,159.5385745,0.7561468
6,Bellevue-NE,2019,6,Renter,83.51840838,191.7808517,116.594479,1.396033297
6,Bellevue-NE,2019,7,Owner,183.3964005,243.0323161,147.7531569,0.805649165
6,Bellevue-NE,2019,7,Renter,42.03866663,170.1015834,103.4144198,2.459983345
6,Bellevue-NE,2019,NA,Owner,16201.70656,2096.061871,1274.315134,0.078653142
7,Bellevue-South,2010,0,Total,10474.60442,0,0,0
7,Bellevue-South,2010,1,Owner,1172.393806,0,0,0
7,Bellevue-South,2010,1,Renter,486.5583234,0,0,0
7,Bellevue-South,2010,2,Owner,3173.539951,0,0,0
7,Bellevue-South,2010,2,Renter,551.5344325,0,0,0
7,Bellevue-South,2010,3,Owner,1686.772134,0,0,0
7,Bellevue-South,2010,3,Renter,313.5428792,0,0,0
7,Bellevue-South,2010,4,Owner,1853.265788,0,0,0
7,Bellevue-South,2010,4,Renter,284.5552152,0,0,0
7,Bellevue-South,2010,5,Owner,570.9435148,0,0,0
7,Bellevue-South,2010,5,Renter,126.902355,0,0,0
7,Bellevue-South,2010,6,Owner,189.2459519,0,0,0
7,Bellevue-South,2010,7,Owner,65.35007167,0,0,0
7,Bellevue-South,2010,NA,Owner,10474.60442,0,0,0
7,Bellevue-South,2014,0,Total,10455.83443,498.7900567,303.2428226,0.029002259
7,Bellevue-South,2014,1,Owner,1042.06773,498.4990609,303.0659098,0.290831297
7,Bellevue-South,2014,1,Renter,402.0377006,344.7573531,209.5975882,0.521338143
7,Bellevue-South,2014,2,Owner,3264.098837,706.8958749,429.7621766,0.131663347
7,Bellevue-South,2014,2,Renter,839.4499567,488.6386827,297.0712255,0.353887951
7,Bellevue-South,2014,3,Owner,1535.671811,593.9152807,361.0748525,0.235125012
