,GEOID,moe,race_cat,YEAR,Less_1_occupant,More_1_occupant
41,53033000300,84, (WHITE ALONE HOUSEHOLDER),2009,893,NA
42,53033000300,11, (WHITE ALONE HOUSEHOLDER),2009,NA,6
43,53033000300,30, (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),2009,32,NA
44,53033000300,119, (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),2009,NA,0
45,53033000300,9, (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),2009,5,NA
46,53033000300,119, (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),2009,NA,0
47,53033000300,31, (ASIAN ALONE HOUSEHOLDER),2009,NA,NA
48,53033000300,33, (ASIAN ALONE HOUSEHOLDER),2009,67,NA
49,53033000300,15, (ASIAN ALONE HOUSEHOLDER),2009,NA,9
50,53033000300,119, (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER),2009,0,0
51,53033000300,18, (SOME OTHER RACE ALONE HOUSEHOLDER),2009,11,NA
52,53033000300,119, (SOME OTHER RACE ALONE HOUSEHOLDER),2009,NA,0
53,53033000300,29, (TWO OR MORE RACES HOUSEHOLDER),2009,35,NA
54,53033000300,119, (TWO OR MORE RACES HOUSEHOLDER),2009,NA,0
55,53033000300,84," (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",2009,NA,NA
56,53033000300,82," (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",2009,883,NA
57,53033000300,11," (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",2009,NA,6
58,53033000300,23, (HISPANIC OR LATINO HOUSEHOLDER),2009,21,NA
59,53033000300,119, (HISPANIC OR LATINO HOUSEHOLDER),2009,NA,0
60,53033000401,206, (WHITE ALONE HOUSEHOLDER),2009,NA,NA
61,53033000401,208, (WHITE ALONE HOUSEHOLDER),2009,1747,NA
62,53033000401,36, (WHITE ALONE HOUSEHOLDER),2009,NA,30
63,53033000401,168, (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),2009,351,NA
64,53033000401,119, (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),2009,NA,0
65,53033000401,99, (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),2009,95,NA
66,53033000401,119, (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),2009,NA,0
67,53033000401,158, (ASIAN ALONE HOUSEHOLDER),2009,NA,NA
68,53033000401,156, (ASIAN ALONE HOUSEHOLDER),2009,321,NA
69,53033000401,14, (ASIAN ALONE HOUSEHOLDER),2009,NA,8
70,53033000401,18, (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER),2009,11,NA
71,53033000401,119, (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER),2009,NA,0
72,53033000401,105, (SOME OTHER RACE ALONE HOUSEHOLDER),2009,107,NA
73,53033000401,119, (SOME OTHER RACE ALONE HOUSEHOLDER),2009,NA,0
74,53033000401,91, (TWO OR MORE RACES HOUSEHOLDER),2009,77,NA
75,53033000401,119, (TWO OR MORE RACES HOUSEHOLDER),2009,NA,0
76,53033000401,201," (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",2009,NA,NA
77,53033000401,205," (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",2009,1704,NA
78,53033000401,19," (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",2009,NA,11
79,53033000401,109, (HISPANIC OR LATINO HOUSEHOLDER),2009,NA,NA
80,53033000401,104, (HISPANIC OR LATINO HOUSEHOLDER),2009,125,NA
81,53033000401,30, (HISPANIC OR LATINO HOUSEHOLDER),2009,NA,19
82,53033000402,125, (WHITE ALONE HOUSEHOLDER),2009,1891,NA
83,53033000402,119, (WHITE ALONE HOUSEHOLDER),2009,NA,0
84,53033000402,115, (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),2009,189,NA
85,53033000402,119, (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),2009,NA,0
86,53033000402,31, (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),2009,19,NA
87,53033000402,119, (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),2009,NA,0
88,53033000402,46, (ASIAN ALONE HOUSEHOLDER),2009,49,NA
89,53033000402,119, (ASIAN ALONE HOUSEHOLDER),2009,NA,0
90,53033000402,42, (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER),2009,26,NA
91,53033000402,119, (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER),2009,NA,0
92,53033000402,25, (SOME OTHER RACE ALONE HOUSEHOLDER),2009,16,NA
93,53033000402,119, (SOME OTHER RACE ALONE HOUSEHOLDER),2009,NA,0
94,53033000402,50, (TWO OR MORE RACES HOUSEHOLDER),2009,60,NA
95,53033000402,119, (TWO OR MORE RACES HOUSEHOLDER),2009,NA,0
96,53033000402,131," (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",2009,1813,NA
97,53033000402,119," (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",2009,NA,0
98,53033000402,61, (HISPANIC OR LATINO HOUSEHOLDER),2009,92,NA
99,53033000402,119, (HISPANIC OR LATINO HOUSEHOLDER),2009,NA,0
100,53033000500,79, (WHITE ALONE HOUSEHOLDER),2009,1243,NA
101,53033000500,119, (WHITE ALONE HOUSEHOLDER),2009,NA,0
102,53033000500,17, (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),2009,11,NA
103,53033000500,119, (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),2009,NA,0
104,53033000500,119, (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),2009,0,0
105,53033000500,50, (ASIAN ALONE HOUSEHOLDER),2009,96,NA
106,53033000500,119, (ASIAN ALONE HOUSEHOLDER),2009,NA,0
107,53033000500,119, (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER),2009,0,0
108,53033000500,13, (SOME OTHER RACE ALONE HOUSEHOLDER),2009,7,NA
109,53033000500,119, (SOME OTHER RACE ALONE HOUSEHOLDER),2009,NA,0
110,53033000500,20, (TWO OR MORE RACES HOUSEHOLDER),2009,17,NA
111,53033000500,119, (TWO OR MORE RACES HOUSEHOLDER),2009,NA,0
112,53033000500,80," (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",2009,1235,NA
113,53033000500,119," (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",2009,NA,0
114,53033000500,13, (HISPANIC OR LATINO HOUSEHOLDER),2009,8,NA
115,53033000500,119, (HISPANIC OR LATINO HOUSEHOLDER),2009,NA,0
116,53033000600,187, (WHITE ALONE HOUSEHOLDER),2009,2390,NA
117,53033000600,22, (WHITE ALONE HOUSEHOLDER),2009,NA,14
118,53033000600,109, (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),2009,247,NA
119,53033000600,119, (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),2009,NA,0
120,53033000600,30, (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),2009,20,NA
121,53033000600,119, (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),2009,NA,0
122,53033000600,106, (ASIAN ALONE HOUSEHOLDER),2009,NA,NA
123,53033000600,105, (ASIAN ALONE HOUSEHOLDER),2009,421,NA
124,53033000600,17, (ASIAN ALONE HOUSEHOLDER),2009,NA,10
125,53033000600,28, (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER),2009,16,NA
126,53033000600,119, (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER),2009,NA,0
127,53033000600,103, (SOME OTHER RACE ALONE HOUSEHOLDER),2009,130,NA
128,53033000600,119, (SOME OTHER RACE ALONE HOUSEHOLDER),2009,NA,0
129,53033000600,77, (TWO OR MORE RACES HOUSEHOLDER),2009,NA,NA
130,53033000600,68, (TWO OR MORE RACES HOUSEHOLDER),2009,107,NA
131,53033000600,30, (TWO OR MORE RACES HOUSEHOLDER),2009,NA,19
132,53033000600,189," (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",2009,2325,NA
133,53033000600,22," (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",2009,NA,14
134,53033000600,106, (HISPANIC OR LATINO HOUSEHOLDER),2009,NA,NA
135,53033000600,107, (HISPANIC OR LATINO HOUSEHOLDER),2009,195,NA
136,53033000600,30, (HISPANIC OR LATINO HOUSEHOLDER),2009,NA,19
137,53033000700,198, (WHITE ALONE HOUSEHOLDER),2009,1523,NA
138,53033000700,119, (WHITE ALONE HOUSEHOLDER),2009,NA,0
139,53033000700,166, (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),2009,286,NA
140,53033000700,119, (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),2009,NA,0
141,53033000700,119, (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),2009,0,0
142,53033000700,120, (ASIAN ALONE HOUSEHOLDER),2009,NA,NA
143,53033000700,122, (ASIAN ALONE HOUSEHOLDER),2009,355,NA
144,53033000700,44, (ASIAN ALONE HOUSEHOLDER),2009,NA,34
145,53033000700,119, (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER),2009,0,0
146,53033000700,35, (SOME OTHER RACE ALONE HOUSEHOLDER),2009,NA,NA
147,53033000700,22, (SOME OTHER RACE ALONE HOUSEHOLDER),2009,13,NA
148,53033000700,29, (SOME OTHER RACE ALONE HOUSEHOLDER),2009,NA,21
149,53033000700,36, (TWO OR MORE RACES HOUSEHOLDER),2009,39,NA
150,53033000700,119, (TWO OR MORE RACES HOUSEHOLDER),2009,NA,0
151,53033000700,197," (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",2009,1459,NA
152,53033000700,119," (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",2009,NA,0
153,53033000700,63, (HISPANIC OR LATINO HOUSEHOLDER),2009,NA,NA
154,53033000700,57, (HISPANIC OR LATINO HOUSEHOLDER),2009,77,NA
155,53033000700,29, (HISPANIC OR LATINO HOUSEHOLDER),2009,NA,21
156,53033000800,55, (WHITE ALONE HOUSEHOLDER),2009,941,NA
157,53033000800,119, (WHITE ALONE HOUSEHOLDER),2009,NA,0
158,53033000800,36, (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),2009,40,NA
159,53033000800,119, (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),2009,NA,0
160,53033000800,119, (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),2009,0,0
161,53033000800,43, (ASIAN ALONE HOUSEHOLDER),2009,99,NA
162,53033000800,119, (ASIAN ALONE HOUSEHOLDER),2009,NA,0
163,53033000800,119, (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER),2009,0,0
164,53033000800,119, (SOME OTHER RACE ALONE HOUSEHOLDER),2009,0,0
165,53033000800,18, (TWO OR MORE RACES HOUSEHOLDER),2009,13,NA
166,53033000800,119, (TWO OR MORE RACES HOUSEHOLDER),2009,NA,0
167,53033000800,55," (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",2009,941,NA
168,53033000800,119," (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",2009,NA,0
169,53033000800,36, (HISPANIC OR LATINO HOUSEHOLDER),2009,25,NA
170,53033000800,119, (HISPANIC OR LATINO HOUSEHOLDER),2009,NA,0
171,53033000900,78, (WHITE ALONE HOUSEHOLDER),2009,829,NA
172,53033000900,119, (WHITE ALONE HOUSEHOLDER),2009,NA,0
173,53033000900,119, (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),2009,0,0
174,53033000900,119, (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),2009,0,0
175,53033000900,68, (ASIAN ALONE HOUSEHOLDER),2009,55,NA
176,53033000900,119, (ASIAN ALONE HOUSEHOLDER),2009,NA,0
177,53033000900,119, (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER),2009,0,0
178,53033000900,119, (SOME OTHER RACE ALONE HOUSEHOLDER),2009,0,0
179,53033000900,10, (TWO OR MORE RACES HOUSEHOLDER),2009,5,NA
180,53033000900,119, (TWO OR MORE RACES HOUSEHOLDER),2009,NA,0
181,53033000900,83," (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",2009,800,NA
182,53033000900,119," (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",2009,NA,0
183,53033000900,32, (HISPANIC OR LATINO HOUSEHOLDER),2009,29,NA
184,53033000900,119, (HISPANIC OR LATINO HOUSEHOLDER),2009,NA,0
185,53033001000,84, (WHITE ALONE HOUSEHOLDER),2009,642,NA
186,53033001000,119, (WHITE ALONE HOUSEHOLDER),2009,NA,0
187,53033001000,119, (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),2009,0,0
188,53033001000,10, (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),2009,6,NA
189,53033001000,119, (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),2009,NA,0
190,53033001000,54, (ASIAN ALONE HOUSEHOLDER),2009,83,NA
191,53033001000,119, (ASIAN ALONE HOUSEHOLDER),2009,NA,0
192,53033001000,119, (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER),2009,0,0
193,53033001000,57, (SOME OTHER RACE ALONE HOUSEHOLDER),2009,39,NA
194,53033001000,119, (SOME OTHER RACE ALONE HOUSEHOLDER),2009,NA,0
195,53033001000,119, (TWO OR MORE RACES HOUSEHOLDER),2009,0,0
196,53033001000,85," (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",2009,629,NA
197,53033001000,119," (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",2009,NA,0
198,53033001000,58, (HISPANIC OR LATINO HOUSEHOLDER),2009,52,NA
199,53033001000,119, (HISPANIC OR LATINO HOUSEHOLDER),2009,NA,0
200,53033001100,81, (WHITE ALONE HOUSEHOLDER),2009,881,NA
201,53033001100,119, (WHITE ALONE HOUSEHOLDER),2009,NA,0
202,53033001100,73, (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),2009,52,NA
203,53033001100,119, (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),2009,NA,0
204,53033001100,119, (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),2009,0,0
205,53033001100,38, (ASIAN ALONE HOUSEHOLDER),2009,49,NA
206,53033001100,119, (ASIAN ALONE HOUSEHOLDER),2009,NA,0
207,53033001100,15, (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER),2009,8,NA
208,53033001100,119, (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER),2009,NA,0
209,53033001100,23, (SOME OTHER RACE ALONE HOUSEHOLDER),2009,19,NA
210,53033001100,119, (SOME OTHER RACE ALONE HOUSEHOLDER),2009,NA,0
211,53033001100,53, (TWO OR MORE RACES HOUSEHOLDER),2009,80,NA
212,53033001100,119, (TWO OR MORE RACES HOUSEHOLDER),2009,NA,0
213,53033001100,79," (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",2009,878,NA
214,53033001100,119," (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",2009,NA,0
215,53033001100,15, (HISPANIC OR LATINO HOUSEHOLDER),2009,9,NA
216,53033001100,119, (HISPANIC OR LATINO HOUSEHOLDER),2009,NA,0
217,53033001200,185, (WHITE ALONE HOUSEHOLDER),2009,NA,NA
218,53033001200,184, (WHITE ALONE HOUSEHOLDER),2009,2506,NA
219,53033001200,23, (WHITE ALONE HOUSEHOLDER),2009,NA,17
220,53033001200,70, (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),2009,159,NA
221,53033001200,119, (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),2009,NA,0
222,53033001200,39, (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),2009,NA,NA
223,53033001200,35, (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),2009,38,NA
224,53033001200,18, (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),2009,NA,11
225,53033001200,139, (ASIAN ALONE HOUSEHOLDER),2009,NA,NA
226,53033001200,137, (ASIAN ALONE HOUSEHOLDER),2009,550,NA
227,53033001200,26, (ASIAN ALONE HOUSEHOLDER),2009,NA,15
228,53033001200,18, (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER),2009,11,NA
229,53033001200,119, (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER),2009,NA,0
230,53033001200,32, (SOME OTHER RACE ALONE HOUSEHOLDER),2009,33,NA
231,53033001200,119, (SOME OTHER RACE ALONE HOUSEHOLDER),2009,NA,0
232,53033001200,56, (TWO OR MORE RACES HOUSEHOLDER),2009,77,NA
233,53033001200,119, (TWO OR MORE RACES HOUSEHOLDER),2009,NA,0
234,53033001200,192," (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",2009,NA,NA
235,53033001200,189," (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",2009,2389,NA
236,53033001200,23," (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",2009,NA,17
237,53033001200,105, (HISPANIC OR LATINO HOUSEHOLDER),2009,180,NA
238,53033001200,119, (HISPANIC OR LATINO HOUSEHOLDER),2009,NA,0
239,53033001300,154, (WHITE ALONE HOUSEHOLDER),2009,1522,NA
240,53033001300,119, (WHITE ALONE HOUSEHOLDER),2009,NA,0
241,53033001300,110, (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),2009,NA,NA
242,53033001300,114, (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),2009,171,NA
243,53033001300,19, (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),2009,NA,12
244,53033001300,119, (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),2009,0,0
245,53033001300,123, (ASIAN ALONE HOUSEHOLDER),2009,410,NA
246,53033001300,119, (ASIAN ALONE HOUSEHOLDER),2009,NA,0
247,53033001300,119, (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER),2009,0,0
248,53033001300,25, (SOME OTHER RACE ALONE HOUSEHOLDER),2009,NA,15
249,53033001300,119, (SOME OTHER RACE ALONE HOUSEHOLDER),2009,0,NA
250,53033001300,102, (TWO OR MORE RACES HOUSEHOLDER),2009,106,NA
251,53033001300,119, (TWO OR MORE RACES HOUSEHOLDER),2009,NA,0
252,53033001300,159," (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",2009,1439,NA
253,53033001300,119," (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",2009,NA,0
254,53033001300,100, (HISPANIC OR LATINO HOUSEHOLDER),2009,NA,NA
255,53033001300,101, (HISPANIC OR LATINO HOUSEHOLDER),2009,129,NA
256,53033001300,25, (HISPANIC OR LATINO HOUSEHOLDER),2009,NA,15
257,53033001400,205, (WHITE ALONE HOUSEHOLDER),2009,1725,NA
258,53033001400,14, (WHITE ALONE HOUSEHOLDER),2009,NA,8
259,53033001400,71, (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),2009,59,NA
260,53033001400,119, (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),2009,NA,0
261,53033001400,29, (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),2009,23,NA
262,53033001400,119, (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),2009,NA,0
263,53033001400,62, (ASIAN ALONE HOUSEHOLDER),2009,126,NA
264,53033001400,119, (ASIAN ALONE HOUSEHOLDER),2009,NA,0
265,53033001400,119, (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER),2009,0,0
266,53033001400,46, (SOME OTHER RACE ALONE HOUSEHOLDER),2009,30,NA
267,53033001400,119, (SOME OTHER RACE ALONE HOUSEHOLDER),2009,NA,0
268,53033001400,85, (TWO OR MORE RACES HOUSEHOLDER),2009,117,NA
269,53033001400,119, (TWO OR MORE RACES HOUSEHOLDER),2009,NA,0
270,53033001400,204," (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",2009,NA,NA
271,53033001400,205," (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",2009,1720,NA
272,53033001400,14," (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",2009,NA,8
273,53033001400,55, (HISPANIC OR LATINO HOUSEHOLDER),2009,61,NA
274,53033001400,119, (HISPANIC OR LATINO HOUSEHOLDER),2009,NA,0
275,53033001500,72, (WHITE ALONE HOUSEHOLDER),2009,1008,NA
276,53033001500,119, (WHITE ALONE HOUSEHOLDER),2009,NA,0
277,53033001500,119, (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),2009,0,0
278,53033001500,119, (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),2009,0,0
279,53033001500,47, (ASIAN ALONE HOUSEHOLDER),2009,75,NA
280,53033001500,119, (ASIAN ALONE HOUSEHOLDER),2009,NA,0
281,53033001500,119, (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER),2009,0,0
282,53033001500,119, (SOME OTHER RACE ALONE HOUSEHOLDER),2009,0,0
283,53033001500,18, (TWO OR MORE RACES HOUSEHOLDER),2009,12,NA
284,53033001500,119, (TWO OR MORE RACES HOUSEHOLDER),2009,NA,0
285,53033001500,71," (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",2009,967,NA
286,53033001500,119," (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",2009,NA,0
287,53033001500,44, (HISPANIC OR LATINO HOUSEHOLDER),2009,56,NA
288,53033001500,119, (HISPANIC OR LATINO HOUSEHOLDER),2009,NA,0
289,53033001600,70, (WHITE ALONE HOUSEHOLDER),2009,1729,NA
290,53033001600,13, (WHITE ALONE HOUSEHOLDER),2009,NA,9
291,53033001600,21, (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),2009,13,NA
292,53033001600,119, (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),2009,NA,0
293,53033001600,15, (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),2009,9,NA
294,53033001600,119, (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),2009,NA,0
295,53033001600,48, (ASIAN ALONE HOUSEHOLDER),2009,98,NA
296,53033001600,119, (ASIAN ALONE HOUSEHOLDER),2009,NA,0
297,53033001600,119, (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER),2009,0,0
298,53033001600,119, (SOME OTHER RACE ALONE HOUSEHOLDER),2009,0,0
299,53033001600,34, (TWO OR MORE RACES HOUSEHOLDER),2009,23,NA
300,53033001600,119, (TWO OR MORE RACES HOUSEHOLDER),2009,NA,0
301,53033001600,77," (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",2009,1714,NA
